trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
1_PSCO_0_1,5:00:00,5:00:00,79,1,0
1_PSCO_0_1,5:00:56,5:00:56,22,2,312
1_PSCO_0_1,5:02:13,5:02:13,19,3,741
1_PSCO_0_1,5:02:57,5:02:57,83,4,986
1_PSCO_0_1,5:03:03,5:03:03,98,5,1022
1_PSCO_0_1,5:03:47,5:03:47,119,6,1269
1_PSCO_0_1,5:04:29,5:04:29,123,7,1505
1_PSCO_0_1,5:05:02,5:05:02,144,8,1687
1_PSCO_0_1,5:05:46,5:05:46,6,9,1933
1_PSCO_0_1,5:06:43,5:06:43,99,10,2248
1_PSCO_0_1,5:11:03,5:11:03,132,11,3692
1_PSCO_0_1,5:11:44,5:11:44,143,12,3922
1_PSCO_0_1,5:12:52,5:12:52,42,13,4299
1_PSCO_0_1,5:14:36,5:14:36,102,14,4874
1_PSCO_0_1,5:14:45,5:14:45,114,15,4926
1_PSCO_0_1,5:18:34,5:18:34,133,16,6198
1_PSCO_0_1,5:19:22,5:19:22,113,17,6467
1_PSCO_0_1,5:20:00,5:20:00,125,18,6679
1_PSCO_0_1,5:22:33,5:22:33,69,19,7528
1_PSCO_1_1,5:00:00,5:00:00,69,1,0
1_PSCO_1_1,5:02:33,5:02:33,125,2,849
1_PSCO_1_1,5:03:11,5:03:11,113,3,1061
1_PSCO_1_1,5:03:59,5:03:59,133,4,1330
1_PSCO_1_1,5:07:48,5:07:48,114,5,2602
1_PSCO_1_1,5:07:57,5:07:57,102,6,2654
1_PSCO_1_1,5:09:41,5:09:41,42,7,3229
1_PSCO_1_1,5:10:49,5:10:49,143,8,3606
1_PSCO_1_1,5:11:30,5:11:30,132,9,3836
1_PSCO_1_1,5:15:50,5:15:50,99,10,5280
1_PSCO_1_1,5:16:47,5:16:47,6,11,5595
1_PSCO_1_1,5:17:31,5:17:31,144,12,5841
1_PSCO_1_1,5:18:04,5:18:04,123,13,6023
1_PSCO_1_1,5:18:46,5:18:46,119,14,6259
1_PSCO_1_1,5:19:30,5:19:30,98,15,6506
1_PSCO_1_1,5:19:37,5:19:37,83,16,6543
1_PSCO_1_1,5:20:21,5:20:21,19,17,6787
1_PSCO_1_1,5:21:38,5:21:38,22,18,7216
1_PSCO_1_1,5:22:34,5:22:34,79,19,7528
1_PSCO_0_2,5:25:00,5:25:00,79,1,0
1_PSCO_0_2,5:25:56,5:25:56,22,2,312
1_PSCO_0_2,5:27:13,5:27:13,19,3,741
1_PSCO_0_2,5:27:57,5:27:57,83,4,986
1_PSCO_0_2,5:28:03,5:28:03,98,5,1022
1_PSCO_0_2,5:28:47,5:28:47,119,6,1269
1_PSCO_0_2,5:29:29,5:29:29,123,7,1505
1_PSCO_0_2,5:30:02,5:30:02,144,8,1687
1_PSCO_0_2,5:30:46,5:30:46,6,9,1933
1_PSCO_0_2,5:31:43,5:31:43,99,10,2248
1_PSCO_0_2,5:36:03,5:36:03,132,11,3692
1_PSCO_0_2,5:36:44,5:36:44,143,12,3922
1_PSCO_0_2,5:37:52,5:37:52,42,13,4299
1_PSCO_0_2,5:39:36,5:39:36,102,14,4874
1_PSCO_0_2,5:39:45,5:39:45,114,15,4926
1_PSCO_0_2,5:43:34,5:43:34,133,16,6198
1_PSCO_0_2,5:44:22,5:44:22,113,17,6467
1_PSCO_0_2,5:45:00,5:45:00,125,18,6679
1_PSCO_0_2,5:47:33,5:47:33,69,19,7528
1_PSCO_1_2,5:25:00,5:25:00,69,1,0
1_PSCO_1_2,5:27:33,5:27:33,125,2,849
1_PSCO_1_2,5:28:11,5:28:11,113,3,1061
1_PSCO_1_2,5:28:59,5:28:59,133,4,1330
1_PSCO_1_2,5:32:48,5:32:48,114,5,2602
1_PSCO_1_2,5:32:57,5:32:57,102,6,2654
1_PSCO_1_2,5:34:41,5:34:41,42,7,3229
1_PSCO_1_2,5:35:49,5:35:49,143,8,3606
1_PSCO_1_2,5:36:30,5:36:30,132,9,3836
1_PSCO_1_2,5:40:50,5:40:50,99,10,5280
1_PSCO_1_2,5:41:47,5:41:47,6,11,5595
1_PSCO_1_2,5:42:31,5:42:31,144,12,5841
1_PSCO_1_2,5:43:04,5:43:04,123,13,6023
1_PSCO_1_2,5:43:46,5:43:46,119,14,6259
1_PSCO_1_2,5:44:30,5:44:30,98,15,6506
1_PSCO_1_2,5:44:37,5:44:37,83,16,6543
1_PSCO_1_2,5:45:21,5:45:21,19,17,6787
1_PSCO_1_2,5:46:38,5:46:38,22,18,7216
1_PSCO_1_2,5:47:34,5:47:34,79,19,7528
1_PSCO_0_3,5:50:00,5:50:00,79,1,0
1_PSCO_0_3,5:50:56,5:50:56,22,2,312
1_PSCO_0_3,5:52:13,5:52:13,19,3,741
1_PSCO_0_3,5:52:57,5:52:57,83,4,986
1_PSCO_0_3,5:53:03,5:53:03,98,5,1022
1_PSCO_0_3,5:53:47,5:53:47,119,6,1269
1_PSCO_0_3,5:54:29,5:54:29,123,7,1505
1_PSCO_0_3,5:55:02,5:55:02,144,8,1687
1_PSCO_0_3,5:55:46,5:55:46,6,9,1933
1_PSCO_0_3,5:56:43,5:56:43,99,10,2248
1_PSCO_0_3,6:01:03,6:01:03,132,11,3692
1_PSCO_0_3,6:01:44,6:01:44,143,12,3922
1_PSCO_0_3,6:02:52,6:02:52,42,13,4299
1_PSCO_0_3,6:04:36,6:04:36,102,14,4874
1_PSCO_0_3,6:04:45,6:04:45,114,15,4926
1_PSCO_0_3,6:08:34,6:08:34,133,16,6198
1_PSCO_0_3,6:09:22,6:09:22,113,17,6467
1_PSCO_0_3,6:10:00,6:10:00,125,18,6679
1_PSCO_0_3,6:12:33,6:12:33,69,19,7528
1_PSCO_1_3,5:50:00,5:50:00,69,1,0
1_PSCO_1_3,5:52:33,5:52:33,125,2,849
1_PSCO_1_3,5:53:11,5:53:11,113,3,1061
1_PSCO_1_3,5:53:59,5:53:59,133,4,1330
1_PSCO_1_3,5:57:48,5:57:48,114,5,2602
1_PSCO_1_3,5:57:57,5:57:57,102,6,2654
1_PSCO_1_3,5:59:41,5:59:41,42,7,3229
1_PSCO_1_3,6:00:49,6:00:49,143,8,3606
1_PSCO_1_3,6:01:30,6:01:30,132,9,3836
1_PSCO_1_3,6:05:50,6:05:50,99,10,5280
1_PSCO_1_3,6:06:47,6:06:47,6,11,5595
1_PSCO_1_3,6:07:31,6:07:31,144,12,5841
1_PSCO_1_3,6:08:04,6:08:04,123,13,6023
1_PSCO_1_3,6:08:46,6:08:46,119,14,6259
1_PSCO_1_3,6:09:30,6:09:30,98,15,6506
1_PSCO_1_3,6:09:37,6:09:37,83,16,6543
1_PSCO_1_3,6:10:21,6:10:21,19,17,6787
1_PSCO_1_3,6:11:38,6:11:38,22,18,7216
1_PSCO_1_3,6:12:34,6:12:34,79,19,7528
1_PSCO_0_4,6:00:00,6:00:00,79,1,0
1_PSCO_0_4,6:00:56,6:00:56,22,2,312
1_PSCO_0_4,6:02:13,6:02:13,19,3,741
1_PSCO_0_4,6:02:57,6:02:57,83,4,986
