insee,pot_hp,pot_hc,pot_soir,pot_nuit,x,y
"78498",0.9,0.57,0.09,0.01,1.99457719127341,48.8912207143625
"78498",0.39,0.26,0.09,0.01,1.99351990379498,48.9146441421209
"78498",0.36,0.48,0.17,0.02,1.99681484720471,48.9112657931209
"78498",0.7,0.81,0.26,0.03,1.99652475408206,48.9130525779815
"78498",0.82,0.56,0.2,0.03,1.99623463452507,48.9148393605167
"78498",18.66,14.06,4.07,0.51,1.99923940790708,48.9132477223441
"78498",2.02,1.43,0.47,0.06,1.99894938476507,48.9150345129945
"78498",4.33,4.34,0.91,0.1,1.9995294046233,48.9114609293691
"78498",0.14,0.19,0.1,0.01,1.99981937491715,48.9096741340692
"78498",14.03,10.39,2.56,0.31,2.0022439815401,48.911655999704
"78498",1.51,1.04,0.35,0.05,2.0016641545087,48.9152295995536
"78498",14.95,11.15,3.17,0.4,2.00195408123301,48.9134428007907
"78498",0.33,0.46,0.24,0.03,2.00253385543338,48.9098691962931
"78498",0.55,0.37,0.13,0.02,2.00282370291628,48.9080823905578
"78498",0.73,0.49,0.17,0.02,2.00340331866464,48.9045087721124
"78498",0.02,0.02,0,0,2.00466877405358,48.9136378133206
"78498",0.67,0.54,0.22,0.03,2.00495857794883,48.9118510041248
"78498",0,0.01,0,0,2.005538106527,48.9082773787626
"78498",1.09,0.86,0.35,0.04,2.00524835543882,48.9100641926056
"78498",0,0,0,0,2.01252342839357,48.9160092865877
"78498",1.13,0.75,0.17,0.02,2.01096697218282,48.9086671574429
"78498",0.24,0.34,0.18,0.02,2.01067741389221,48.910453987493
"78498",4.35,2.96,1.04,0.13,2.01038782921688,48.9122408152208
"78498",0.14,0.2,0.1,0.01,2.00825252961794,48.9084723010579
"78498",7.5,5.3,1.91,0.24,2.0079628749272,48.9102591230058
"78498",11.23,7.68,2.76,0.36,2.00767319384318,48.9120459426306
"78498",1.51,0.99,0.37,0.05,2.00691075385869,48.9336825669321
"78498",4.1,2.63,0.65,0.09,2.00720065541774,48.9318957670473
"78498",0,0,0,0,2.00749053055096,48.9301089648439
"78498",1.58,1.38,0.11,0.01,2.00893950994969,48.9211749190373
"78498",0.02,0.03,0.01,0,2.00951891684837,48.917601284474
"78498",1.53,1.47,0.21,0.02,2.00922922659994,48.919388102916
"78498",6,5.16,0.32,0.03,2.01165464698172,48.9213697662241
"78498",8.97,10.94,0.62,0.02,2.01223386098061,48.9177961154533
"78498",165.65,117.71,36.8,4.77,2.01194426717781,48.9195829419986
"78498",0.31,0.2,0.08,0.01,2.01321144462165,48.9287118536019
"78498",5.87,3.85,1.43,0.19,2.01292178890754,48.9304986743373
"78498",1.13,0.74,0.27,0.04,2.00991637135471,48.9320906628746
"78498",0.86,1.22,0.64,0.07,2.02650027571942,48.9314717940273
"78498",10.23,7.5,2.97,0.37,2.02678944889447,48.9296849328056
"78498",1.17,1.3,0.45,0.05,2.02707859571052,48.92789806927
"78498",26.13,20.54,0.12,0,2.02736771617099,48.9261112034202
"78498",17.52,13.23,1.35,0.16,2.02609795882582,48.9169824121179
"78498",92.43,68.65,15.57,1.96,2.02494145998128,48.9241298755749
"78498",166.22,126.53,31.96,4.04,2.02523062421982,48.9223430131847
"78498",72.67,55.57,7.47,0.91,2.02551976210446,48.9205561484787
"78498",104.23,68.55,7.43,0.93,2.02580887363867,48.9187692814565
"78498",21.46,16.86,0.48,0.05,2.02465226938543,48.9259167356495
"78498",10.61,6.95,2.58,0.34,2.02407380910818,48.9294904488533
"78498",122.4,83.96,14.47,1.81,2.02280462420182,48.9203616390429
"78498",820.04,517.63,57.15,7.19,2.02309383219513,48.9185747801108
"78498",58.98,44.74,9.16,1.14,2.02251538984947,48.9221484956582
"78498",16.84,13.56,0.33,0.03,2.02222612913469,48.9239353499568
"78498",16.96,11.24,1.03,0.13,2.02193684205404,48.9257222019391
"78498",5.71,3.74,1.39,0.18,2.02135818878146,48.929295898956
"78498",5.27,3.57,1.16,0.15,2.01621653935032,48.9271197701746
"78498",2.89,1.89,0.7,0.09,2.01592700653189,48.9289066013296
"78498",2.23,1.46,0.54,0.07,2.01563744732018,48.9306934301676
"78498",39.11,27.07,8.01,1.06,2.01436980349402,48.9215645474803
"78498",137.24,99.28,31.19,4.07,2.01465932723322,48.9197777151534
"78498",56.53,43.58,11.57,1.45,2.0149488245877,48.9179908805073
"78498",0.8,0.58,0.18,0.02,2.01650604577892,48.9253329367024
"78498",5.26,4.07,0.28,0.03,2.0167955258211,48.9235461009127
"78498",7.54,6.12,0.68,0.08,2.01737440675989,48.9199724223795
"78498",4.71,3.9,0.25,0.03,2.01766380766335,48.9181855796354
"78498",16.47,12,2.86,0.37,2.01708497948029,48.9217592628052
"78498",1.52,0.99,0.37,0.05,2.01864258792059,48.9291012831145
"78498",13.52,9.76,1.1,0.12,2.0198001749342,48.9219539121981
"78498",0.54,0.39,0.13,0.02,2.0192214341831,48.9255276022898
"78498",0.78,0.69,0.01,0,2.01951081774586,48.9237407584025
"78498",127.54,87.09,29.39,3.81,2.02008950575152,48.9201670636763
"78498",71.24,45.63,5.11,0.63,2.02037881020126,48.9183802128369
"78498",1.65,1.11,0.39,0.05,2.01824253035551,48.9146118871908
"78498",1.81,1.41,0.35,0.04,2.01795318219408,48.9163987345726
"78498",0,0,0,0,2.0152382955609,48.9162040435418
"78498",3.18,2.13,0.76,0.1,2.01668525482729,48.9072698239112
"78498",0.42,0.27,0.05,0.01,2.0169745675846,48.9054829730224
"78498",3.66,2.63,0.26,0.03,2.02066808828683,48.9165933596794
"78498",0.14,0.21,0.01,0,2.02095734001166,48.9148065042037
"78498",74.71,47.99,4.99,0.62,2.02338301383284,48.9167879188614
"78498",0.19,0.27,0.02,0,2.02367216911837,48.9150010552946
"78498",1.11,1.04,0.14,0.01,2.02638701766935,48.9151955404625
"78498",2.04,1.74,0.17,0.02,2.02910188565831,48.9153899597067
"78498",2.92,2.3,0.02,0,2.03453167992495,48.9157786004212
"78498",0.28,0.22,0.07,0.01,2.0399615518679,48.9161669774319
"78498",1.29,1.01,0.19,0.02,2.03724660619004,48.9159728218899
"78498",100.29,70.1,20.31,2.56,2.03609175612577,48.9231204239401
"78498",60.16,43.44,9.64,1.21,2.0358029778192,48.9249073186698
"78498",22.5,17.94,2.15,0.25,2.03522534223355,48.928481101192
"78498",71.42,30.45,9.35,1.18,2.03493648494762,48.930267988985
"78498",147.17,45.58,16.09,2.03,2.03464760132843,48.9320548744665
"78498",113.77,33.52,11.7,1.49,2.03435869137252,48.9338417576366
"78498",60.66,42.68,5.9,0.74,2.03551417318959,48.926694211087
"78498",295.4,87.24,30.21,3.83,2.03707460199059,48.9340359939646
"78498",365.52,137.93,42.84,5.41,2.03736341541391,48.9322491027125
"78498",414.91,178.28,47.19,5.89,2.03765220250911,48.9304622091498
"78498",72.06,56.9,14.44,1.76,2.03638050811273,48.9213335268975
"78498",76.8,63.39,15.77,1.87,2.03666923378348,48.9195466275419
"78498",43.89,35.53,9.29,1.12,2.03695793314144,48.9177597258727
"78498",52.74,38.47,6.85,0.86,2.03851840586007,48.9251015145954
"78498",62.32,43.54,11.95,1.51,2.03880708767691,48.9233146117874
"78498",68.67,48.47,9.49,1.16,2.03938437238085,48.919740799235
"78498",65.91,47.61,12.52,1.55,2.0390957431827,48.9215277066674
"78498",29.11,22.03,6.21,0.76,2.03967297527478,48.91795388949
"78498",58,43.72,9.86,1.21,2.04123385332089,48.9252956445802
"78498",538.22,290.32,68.7,8.21,2.04036793949861,48.9306563633659
"78498",158.58,124.99,30.76,3.67,2.04094524169058,48.9270825531527
"78498",503.77,320.78,82.29,9.79,2.04065660375096,48.9288694594145
"78498",497.43,246.96,60.93,7.46,2.04007924893014,48.9324432650071
"78498",499.14,224.39,57.43,7.3,2.03979053204209,48.9342301643386
"78498",41.23,32.26,4.11,0.49,2.03822969772877,48.9268884150916
"78498",196.98,111.36,20.78,2.56,2.03794096327958,48.9286753132763
"78498",56.4,16.41,5.68,0.72,2.03921301929368,48.9378039560733
"78498",312.36,97.11,30.97,3.94,2.03950178883108,48.9360170613605
"78498",216.1,64.04,22.26,2.84,2.03678576223573,48.9358228829065
"78498",26.98,21.11,2.39,0.29,2.03279866807938,48.9264999411398
"78498",26.41,21.8,4.38,0.51,2.03424291042358,48.9175654963262
"78498",110.99,86.75,20.16,2.48,2.03395411460427,48.9193523899167
"78498",137.22,101.62,29.58,3.72,2.03366529246362,48.921139281193
"78498",82.73,59.12,16.17,2.03,2.03337644399819,48.9229261701554
"78498",91.81,65.88,15.78,1.98,2.03308756920458,48.9247130568042
"78498",18.68,14.95,2.15,0.26,2.03152790712749,48.917371200851
"78498",207.14,154.17,44.95,5.75,2.03123901484954,48.9191580863602
"78498",13.13,11,0.97,0.1,2.03250974061915,48.9282868231623
"78498",9.36,7.15,2.56,0.32,2.03222078682049,48.9300737028722
"78498",1.15,1.63,0.83,0.09,2.03193180667998,48.9318605802697
"78498",0.67,0.94,0.49,0.05,2.0316428001942,48.9336474553552
"78498",1.15,1.62,0.83,0.09,2.02921603147488,48.9316662201231
"78498",8.35,6.35,2.46,0.3,2.029505108134,48.9298793508122
"78498",4.43,4.19,0.85,0.09,2.02979415844271,48.9280924791881
"78498",18.35,14.59,0.26,0.02,2.03008318240442,48.9263056052506
"78498",66.42,49.75,8.77,1.09,2.03037218002252,48.9245187289994
"78498",220.05,163.31,39.3,4.92,2.03066115130047,48.9227318504341
"78498",146.76,116.93,27.66,3.46,2.03095009624167,48.9209449695545
"78498",14.48,11.6,0.55,0.06,2.02881292325947,48.917176839448
"78498",47.15,36.61,5.72,0.7,2.02852393452557,48.9189637168732
"78498",205.35,153.22,36.94,4.67,2.02823491945319,48.9207505919828
"78498",140.29,114.56,23.52,2.92,2.02794587803891,48.9225374647769
"78498",98.01,66.94,5.55,0.68,2.02765681027932,48.924324335256
"78498",0.66,0.93,0.48,0.05,2.0289269284619,48.9334530871212
"78498",2.63,2.37,0.37,0.04,2.05250561337234,48.9405608321014
"78498",0.02,0.04,0.02,0,2.05221727406025,48.9423477625685
"78498",7.34,6.61,0.63,0.06,2.05279392639408,48.9387738993295
"78498",9.19,9.22,0.59,0.04,2.05308221312892,48.9369869642525
"78498",1.21,1.34,0.46,0.05,2.0549337068714,48.9425415694628
"78498",97.06,74.76,15.89,1.91,2.05365870775147,48.9334130871819
"78498",87.91,62.47,16.28,2.03,2.05394691564602,48.9316261451877
"78498",105.83,72.3,21.24,2.69,2.05423509726729,48.9298392008871
"78498",141.8,97.31,30.84,3.93,2.05452325261869,48.92805225428
"78498",9.82,7.42,0.97,0.12,2.05509948452555,48.9244783541446
"78498",45.23,32.34,9.11,1.15,2.05481138170364,48.9262653053659
"78498",1.55,1.38,0.02,0,2.05267220962498,48.9224976164699
"78498",176.03,127.82,40.26,5.08,2.05238403656541,48.9242845619373
"78498",73.12,52.09,14.27,1.79,2.05209583723762,48.9260715050964
"78498",163.19,111.16,34.45,4.37,2.05337047358025,48.93520002687
"78498",76.21,53.56,11.78,1.48,2.05123108161091,48.9314323207269
"78498",131.19,95.1,18.97,2.32,2.0509427771762,48.9332192546559
"78498",158.37,106.98,32.13,4.09,2.05065444645621,48.9350061862781
"78498",109.58,75.66,20.95,2.67,2.05151935976378,48.9296453844909
"78498",164.69,111.91,35.87,4.58,2.05180761163821,48.9278584459475
"78498",132.02,94.12,29.72,3.75,2.04938031216003,48.9258776388823
"78498",130.75,95.99,29.92,3.77,2.04966860799101,48.9240907037881
"78498",1.02,0.89,0.01,0,2.04995687754521,48.9223037663849
"78498",151.51,105.06,32.43,4.11,2.04880364165409,48.9294515021448
"78498",90.67,64.49,19.57,2.45,2.04909199004886,48.9276645716678
"78498",154.6,90.93,24.49,3.1,2.04851526697231,48.9312384303136
"78498",4.2,2.77,0.3,0.04,2.04978929655061,48.9403669673069
"78498",9.14,7.49,0.48,0.04,2.05036608944757,48.9367931155937
"78498",73,46.02,5.1,0.64,2.05007770614684,48.9385800426032
"78498",0.81,0.53,0.2,0.03,2.0477696928162,48.9528753756933
"78498",78.56,48.49,5.55,0.7,2.0476499851708,48.9365992009744
"78498",823.61,517.32,57.54,7.25,2.04736150530686,48.9383861199137
"78498",73.33,46.31,5.13,0.64,2.04707299913884,48.9401730365464
"78498",223.49,72.46,21.87,2.78,2.04493390030493,48.9364052203953
"78498",52.49,15.27,5.29,0.67,2.04192916187397,48.937998076648
"78498",407.45,156.88,37.66,4.79,2.04221783485624,48.9362111738571
"78498",74.62,46.29,5.27,0.66,2.04464532388047,48.9381921312617
"78498",4.19,2.67,0.29,0.04,2.04435672114336,48.9399790398208
"78498",488.7,344.22,53.51,6.31,2.04366080506874,48.9272766252696
"78498",556.75,359.13,75.23,8.71,2.04337226364137,48.9290635396058
"78498",509.82,279.5,67.34,7.95,2.04308369590986,48.9308504516323
"78498",527.76,258.36,53.52,6.54,2.04279510187077,48.9326373613495
"78498",1352.69,759.12,103.89,13.04,2.04250648152071,48.9344242687577
"78498",73.54,50.36,15.07,1.93,2.0415224386453,48.9235087336967
"78498",30.11,21.84,7.1,0.89,2.04181099766724,48.9217218205019
"78498",9.82,7.68,2.33,0.29,2.0420995303901,48.9199349049954
"78498",0.05,0.04,0.01,0,2.0423880368173,48.9181479871771
"78498",56.02,45.93,12.82,1.51,2.04394932019536,48.9254897086234
"78498",0.03,0.04,0,0,2.04452627156003,48.9219158684001
"78498",38.05,26.53,6.8,0.87,2.04423780902465,48.923702789667
